Year,Decade,Recent,Runtime_Encoded,Director_Num_Movies,Writer_Num_Movies,Main_Actor_Num_Movies,Company_Num_Movies,Scaled_Standardized_Budget,Normalized_Score,Log_Votes,G,PG,PG-13,R,NC-17,Not Rated,Unrated,X,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Western,Log_Worldwide_Gross
1999,1990,0,1,12,1,28,1,0.09605218065473012,0.6081081081081081,16.835935492889124,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.576837788709504
2006,2000,0,1,7,4,28,292,0.2317286246397411,0.6081081081081081,17.259128687459263,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.60158600552022
2015,2010,1,1,12,6,28,292,0.24717832323016675,0.4864864864864865,16.41820031748273,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.618842710887826
1996,1990,0,1,12,6,28,320,0.03369157907155737,0.6891891891891893,16.835935492889124,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.836657445799112
1998,1990,0,1,7,6,28,1,0.050545795715658114,0.6756756756756757,16.447399470043365,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.932772670231888
1998,1990,0,0,7,6,28,3,0.06459097625240873,0.5675675675675675,16.54336345172214,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.34379737796251
2000,2000,0,0,4,6,28,2,0.2387512149081164,0.45945945945945943,16.128046080821385,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.18356549028657
1995,1990,0,0,5,6,28,320,0.028073506856857125,0.6081081081081081,16.41820031748273,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.394815014248348
2015,2010,1,1,2,1,1,4,0.042118687393607745,0.5810810810810811,15.702580358511794,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.237924383950656
2012,2010,1,1,1,1,1,2,0.05616386793035836,0.41891891891891886,15.623799493077952,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.132001734561005
2015,2010,1,1,1,1,1,295,0.0842542290038596,0.6351351351351351,15.856731016694035,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.015277064817216
1987,1980,0,1,7,1,1,1,0.014028326320106518,0.6891891891891893,15.068273812173887,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.332800688293037
2010,2010,1,1,2,2,6,203,0.11234459007736083,0.6081081081081081,16.888203918950687,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.964116488924702
2008,2000,0,1,1,1,6,1,0.03369157907155737,0.6891891891891893,14.557448378884015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.30230704513884
2006,2000,0,2,2,1,6,40,0.07863615678915935,0.6216216216216216,15.009433329466965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.939500138230304
2002,2000,0,2,9,3,6,3,0.09829940954061021,0.8918918918918919,18.140966854377275,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.906191961785606
2005,2000,0,1,1,1,6,2,0.08144519289650948,0.7027027027027027,16.213405921671733,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.196938081211535
2009,2000,0,1,1,1,6,5,0.0842542290038596,0.5135135135135135,16.066802461833923,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.418648051702473
1990,1990,0,1,1,1,1,1,0.025264470749506995,0.5675675675675675,13.369225017834633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.067158905500433
2005,2000,0,0,3,1,1,50,0.28088675651836825,0.3648648648648649,13.785052381406869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.8704654965687
1995,1990,0,0,1,1,1,1,0.0004045011994584097,0.7837837837837838,13.444448325847754,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.040069350635044
1990,1990,0,2,17,4,1,73,0.05616386793035836,0.7162162162162162,13.28787951079572,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.876811722658935
1990,1990,0,1,2,3,1,295,0.03369157907155737,0.7972972972972974,14.731801689838349,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.206711508043973
2002,2000,0,1,5,7,19,152,0.028073506856857125,0.5675675675675675,15.59046307836746,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.092401003865632
